"brain_region","gene","cor_estimate","p_value","significance"
"hippocampus","UTS2",-0.0191067870936462,0.871547315511541,""
"hippocampus","CORT",-0.388447737985521,2.44269880935418e-05,"*"
"hippocampus","NPPA",-0.289904775156681,0.00151224180277217,"*"
"hippocampus","NPPB",-0.0726918297259086,0.463174467576149,""
"hippocampus","KISS1",-0.130513042134117,0.222915698422263,""
"hippocampus","POMC",-0.0201574752492756,0.844516602138919,""
"hippocampus","UCN",-0.0187182369034517,0.856700576566632,""
"hippocampus","DBI",-0.0364952118558161,0.714674240097066,""
"hippocampus","NXPH2",-0.285136114166216,0.00404885671557252,"*"
"hippocampus","SCG2",-0.277684871561604,0.00573158373695992,"*"
"hippocampus","NPPC",-0.230986723895738,0.02716287410859,""
"hippocampus","CCK",-0.266144354869597,0.00634081942517736,"*"
"hippocampus","UCN2",-0.109715211432919,0.344033045628496,""
"hippocampus","PROK2",-0.058337630497701,0.5825346318812,""
"hippocampus","TRH",-0.102863316661828,0.343906034161495,""
"hippocampus","ADIPOQ",-0.137245431601648,0.21476509439134,""
"hippocampus","SST",-0.235676684851362,0.0245765370378428,""
"hippocampus","NMU",-0.266659382705082,0.00787670009914229,"*"
"hippocampus","SCGN",-0.170227711008126,0.0933529944970671,""
"hippocampus","VIP",-0.29547341556619,0.00204299374166102,"*"
"hippocampus","NXPH1",-0.274618463763899,0.00419882270119742,"*"
"hippocampus","NPY",-0.241486264771448,0.0162482249498275,""
"hippocampus","TAC1",-0.292870206818167,0.0031340609524714,"*"
"hippocampus","VGF",-0.278714018491991,0.00697763500405068,"*"
"hippocampus","PNOC",-0.217836129736112,0.0220035175706241,""
"hippocampus","PENK",-0.211233504039972,0.0372052105857677,""
"hippocampus","CRH",-0.161054833213562,0.115303442108307,""
"hippocampus","RLN1",-0.0547986595644339,0.587491252022994,""
"hippocampus","QRFP",-0.120354409904094,0.277243352717086,""
"hippocampus","CALCB",-0.113056754156351,0.300218643089161,""
