region,AHNP_count
MEC,19206
BNST,12522
CEN,12208
M1C,11821
NAC,10980
SI,10931
La,10874
MTG,10654
Cla,8781
SC,6334
PB,4976
PTR,4865
HTHma-HTHtub,4696
ANC,4082
BL,3597
Sub,3417
CMN,2913
GPe,2815
HTHso-HTHtub,2803
PnEN,2713
LEC,2625
HTHtub,2624
HTHpo,2462
Pir,2352
CA4C-DGC,2320
BM,2314
ETH,2131
DTg,2046
CA1U-CA2U-CA3U,2013
HTHma,2009
DGR-CA4Rpy,1818
A40,1732
IC,1649
Pu,1646
CA3R,1387
A32,1309
HTHpo-HTHso,1308
MN,1302
SN-RN,1185
MG,1042
A13,964
CA1-2R,956
A29-A30,842
MoRF-MoEN,807
CaB,800
A14,734
IO,703
SN,693
PAG,601
Ig,579
CA1C-CA3C,550
TF,550
PnRF,483
LG,471
FI,463
MD-Re,411
S1C,394
DGU-CA4Upy,338
SEP,308
CA1,256
SpC,250
MoAN,218
MoSR,174
PAG-DR,154
DGR-CA4,105
A23,89
CoA,82
AON,43
A43,39
VA,25
Pul,19
HTHso,13
PnAN,9
NA,0
