"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MEG3",3.69492463961347e-22,-0.833471269321583,0.894,0.967,8.35718054987774e-18
"ANKS1B",5.89814003163409e-20,-0.919714415021884,0.696,0.935,1.334041312355e-15
"DLX6-AS1",1.45877755323771e-19,-2.16231452692844,0.138,0.514,3.29946306991304e-15
"CNTNAP2",5.71131510802196e-19,-0.962625597556295,0.885,0.938,1.29178525113241e-14
"FSTL5",4.44614863007158e-16,-1.33940436883444,0.41,0.731,1.00562989714959e-11
"NRXN1",1.31955986590655e-14,-0.7239381344789,0.811,0.951,2.98458050470744e-10
"GRIK2",2.69249722423757e-14,-0.832059938341978,0.724,0.918,6.08989022178053e-10
"SLC6A1-AS1",1.4858020306252e-13,-2.71123071207978,0.041,0.302,3.36058703286808e-09
"FGF14",3.26012195714188e-13,-0.699631836749708,0.779,0.981,7.3737438426635e-09
"LINGO2",9.31666795031743e-13,-1.14762071175597,0.41,0.685,2.1072439570028e-08
"MALAT1",2.21658983804428e-12,-0.46502473404467,1,1,5.01348289568855e-08
"NKAIN3",1.44655068649691e-11,-1.81190456257752,0.097,0.353,3.27180834271872e-07
"NSF",1.9598077750493e-11,-1.14728551326077,0.295,0.595,4.4326932256065e-07
"ADGRB3",3.22505715108982e-11,-0.561831408025533,0.871,0.965,7.29443426433496e-07
"THRB",3.37705223707946e-11,-0.877729726809429,0.355,0.641,7.63821674982633e-07
"HDAC9",3.39560836004935e-11,-0.996529195192585,0.295,0.606,7.68018698875962e-07
"NRXN3",7.52681012228324e-11,-0.525924597302613,0.899,0.97,1.70241391345802e-06
"TSPAN7",8.06947179348392e-11,-1.66194985783082,0.138,0.397,1.82515313025019e-06
"RTN1",8.16497705673846e-11,-0.857581493171969,0.401,0.696,1.8467545106931e-06
"CCK",1.34966182071322e-10,-1.60153341764783,0.332,0.584,3.05266510608917e-06
"THSD7A",2.59898966455075e-10,-1.51179032163434,0.198,0.454,5.87839482328088e-06
"OXR1",5.86172172371097e-10,-0.72818195200206,0.53,0.777,1.32580421946895e-05
"TTTY14",6.2152086719205e-10,-0.846174009634719,0.171,0.454,1.40575589741498e-05
"MTUS2",1.15800362350236e-09,-0.814996542067302,0.41,0.685,2.61917259563763e-05
"RIMS1",1.6215059876345e-09,-0.874829702884528,0.401,0.69,3.66752224283171e-05
"UTY",1.7723583593358e-09,-2.35733652389837,0.055,0.255,4.0087201371457e-05
"FRMPD4",2.7113012810249e-09,-0.875504229258723,0.429,0.674,6.13242123742212e-05
"GRM7",3.08829006583464e-09,-0.938772622911753,0.309,0.579,6.9850944709048e-05
"GRID2",3.56277551025496e-09,-0.883082639952164,0.456,0.707,8.05828564909468e-05
"KCNT2",4.43458388449385e-09,-1.56831791730644,0.138,0.372,0.000100301418299482
"ROBO2",4.90780391387196e-09,-0.979395674959964,0.521,0.734,0.000111004708923956
"ASIC2",7.52257419477439e-09,-1.05820833635908,0.378,0.609,0.000170145583137407
"MDGA2",9.35544825169571e-09,-0.658140560082604,0.502,0.726,0.000211601528556854
