"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"LINGO1",8.38717102309734e-40,3.33874816988058,0.862,0.552,1.89701034200416e-35
"HSPA1A",7.38439941054593e-29,4.21857245176291,0.498,0.125,1.67020345867728e-24
"BOK",2.21767082796831e-25,4.91251104143057,0.341,0.033,5.01592787869873e-21
"GFAP",5.85362471206377e-23,3.66121785995778,0.452,0.122,1.32397283737458e-18
"SUN2",2.09465352378015e-21,2.97331011637898,0.47,0.149,4.73768734008595e-17
"CRYAB",1.40780132094009e-20,2.90720199336716,0.618,0.359,3.18416502770229e-16
"SPP1",2.94520044310071e-20,2.58926494794975,0.512,0.204,6.66145436220519e-16
"HSPB1",2.17285806622522e-19,3.59835888384139,0.323,0.054,4.91457037418821e-15
"NDRG1",8.2205856255991e-18,2.97592763670767,0.382,0.106,1.859332056798e-13
"LINC00486",9.54018937352092e-18,1.24752161699561,0.954,0.962,2.15780003250296e-13
"MT3",5.54136332824258e-17,2.30690539548294,0.465,0.182,1.25334555758191e-12
"QDPR",6.94545585988448e-16,2.26923232259475,0.525,0.272,1.57092320638867e-11
"DNAJB1",3.36826732952461e-15,3.04768175530474,0.304,0.071,7.61834704591877e-11
"AEBP1",5.74570863055307e-15,4.2666742759332,0.207,0.019,1.29956437805849e-10
"NEAT1",3.54093822543393e-14,1.8196490034651,0.512,0.245,8.00889407828645e-10
"MT-ATP6",3.56404410087189e-14,1.92364566051732,0.535,0.261,8.06115494735204e-10
"CNTN2",7.21339395804311e-14,2.63435482658482,0.387,0.149,1.63152544543019e-09
"ANLN",7.94218459024009e-14,3.27314760992529,0.24,0.041,1.7963633106205e-09
"HSPA1B",1.94233509682995e-13,4.21533049942896,0.212,0.03,4.39317352200999e-09
"PLXNB1",3.29651214783544e-12,2.50608656395215,0.276,0.076,7.4560511759742e-08
"BCYRN1",4.2558787366731e-12,1.99731024087025,0.452,0.217,9.62594652660721e-08
"MYRF",2.34186191032801e-11,2.33301646244403,0.3,0.095,5.2968232687799e-07
"XIST",2.97094215141677e-11,1.72559490809039,0.323,0.103,6.71967695807446e-07
"MBP",3.30836931914951e-11,1.86496099766934,0.581,0.413,7.48286972605237e-07
"RANGAP1",5.25606550902588e-11,2.4621072995248,0.29,0.092,1.18881689683147e-06
"PREX1",6.23875735794807e-11,2.75498378679816,0.23,0.054,1.4110821392207e-06
"CSRP1",6.75169539242932e-11,2.74730190176573,0.258,0.073,1.52709846385966e-06
"GPRC5B",7.034504585323e-11,2.26595056068096,0.378,0.174,1.59106424710836e-06
"CLDND1",9.40354023365815e-11,1.88503629735071,0.373,0.16,2.1268927300488e-06
"PLP1",1.35497444970988e-10,1.55287505646707,0.599,0.457,3.06468121035382e-06
"NDRG2",1.62103423181113e-10,2.29414262014889,0.424,0.239,3.66645522551042e-06
"ERBB2IP",2.68609331346728e-10,1.65493577213493,0.479,0.266,6.0754058564003e-06
"TFEB",4.77743658190976e-10,2.77411076879352,0.171,0.027,1.08056060609635e-05
"CNDP1",6.07390969615571e-10,1.94016970581153,0.24,0.065,1.3737968950765e-05
"DNAJB2",6.27155576935875e-10,2.01118426834167,0.447,0.255,1.41850048391356e-05
"ZCCHC24",6.70362809186957e-10,3.4434874191658,0.157,0.022,1.51622660181906e-05
"RAPGEF3",7.69120179593361e-10,2.53304418989802,0.29,0.109,1.73959602220426e-05
"FKBP4",1.22030391487382e-09,2.65049573249981,0.24,0.071,2.76008339466161e-05
"MT-ND4",2.09205139679717e-09,1.36265773772073,0.631,0.476,4.73180184927584e-05
"TMC6",2.51711025432852e-09,3.60721933224634,0.138,0.016,5.69319997324024e-05
"DHCR24",3.39307333086906e-09,2.67128200664105,0.161,0.027,7.67445325975964e-05
"FKBP5",4.08924479794128e-09,2.48547126763145,0.157,0.024,9.24905388398359e-05
"CLK1",5.22672768616975e-09,1.95014565553565,0.396,0.22,0.000118218126805787
"MT-ND2",5.39184706640905e-09,1.4357810367789,0.525,0.345,0.00012195279694804
"SLC38A2",6.73427292254218e-09,1.89530611440155,0.323,0.141,0.000152315784962059
"RASSF4",7.37995696170312e-09,2.33971699585828,0.212,0.057,0.000166919866559801
"CYP27A1",7.71586686518757e-09,3.47297506526003,0.138,0.019,0.000174517476756812
"STIP1",8.42500157553712e-09,2.84805430085289,0.175,0.038,0.000190556685635499
"BCOR",9.83702353040261e-09,2.61812765069375,0.244,0.084,0.000222493798210646
"SLC26A3",1.46640221761638e-08,3.2594257028033,0.161,0.033,0.000331670853580472
"DBI",2.53679215072375e-08,2.23436553627225,0.217,0.065,0.000573771648650697
"TPPP",2.697521932794e-08,2.29633273407116,0.263,0.103,0.000610125510759346
"CERCAM",3.18818262573682e-08,1.69567173390696,0.369,0.198,0.000721103146289153
"AATK",3.6665308090719e-08,1.83889369061535,0.369,0.198,0.000829295938395882
"PSAP",3.67591529079783e-08,1.25956619962622,0.59,0.448,0.000831418520472654
"PHYHIP",4.76601028945072e-08,1.84327568856075,0.253,0.092,0.00107797620726796
"KANK1",6.79076235974523e-08,1.82565299721785,0.217,0.068,0.00153593463052718
"CHI3L1",6.87736374156555e-08,3.54089837284316,0.101,0.008,0.0015555221310673
"SEPT8",1.390997757056e-07,1.59434925116239,0.267,0.106,0.00314615872690926
"RELA",1.72741967570362e-07,3.22387270175736,0.147,0.033,0.00390707782250644
"ERMN",2.03531350019306e-07,2.72188257696056,0.157,0.038,0.00460347207473667
"CLMN",2.43887902258662e-07,2.28914628655555,0.189,0.057,0.00551625657328641
"LGI3",2.70288310729507e-07,2.04177647797508,0.207,0.071,0.00611338101207998
"SEPP1",2.78105217340116e-07,2.32534647934502,0.207,0.071,0.00629018380579875
"MOBP",3.09396482494549e-07,2.06438360962212,0.249,0.103,0.00699792964106172
"SDC4",3.25122699505071e-07,3.25371322303676,0.124,0.022,0.00735362521740569
"NKX6-2",3.33726178213171e-07,2.16695694808862,0.171,0.046,0.0075482186988255
"CDK18",3.89592312756527e-07,2.27054412220066,0.189,0.06,0.00881179892992714
"MT-CYB",4.25782628763905e-07,0.984461547672947,0.521,0.348,0.009630351497382
"RP3-406A7.7",5.47398036232294e-07,2.53525520021373,0.166,0.046,0.012381048783502
"HIF3A",5.60357428861251e-07,1.89035509738766,0.244,0.098,0.0126741643259838
"KCNJ10",5.75186027155061e-07,2.70936915207484,0.152,0.038,0.0130095575621932
"PDZD4",6.85555383235164e-07,1.51909756041102,0.258,0.106,0.0155058916580129
"DDX17",8.46179412500932e-07,0.955716512460189,0.645,0.549,0.0191388859519461
"INF2",8.82354284650302e-07,2.23038537434838,0.207,0.076,0.0199570892102205
"EFHD1",1.22216612448481e-06,2.05467335367993,0.203,0.073,0.0276429534035974
"PLOD3",1.25739126647359e-06,2.48805011879511,0.189,0.065,0.0284396756650998
"DAZAP1",1.27537868289793e-06,1.90100155634652,0.217,0.082,0.0288465150497854
"PHLDB1",1.37454894488565e-06,1.72008457019755,0.29,0.141,0.0310895480354236
"MT-CO3",1.39017127309938e-06,0.952077254816826,0.645,0.508,0.0314428938549617
"WASH1",1.61421232433479e-06,1.63270551732857,0.323,0.168,0.0365102543518043
"CLDN11",1.84073331576114e-06,1.41935497305298,0.318,0.166,0.0416337061358855
"SLC24A2",1.92313644837666e-06,0.900815665301488,0.53,0.389,0.0434975001893833
"MT-CO2",2.04582449096171e-06,0.843050010484102,0.682,0.56,0.046272458336572
