"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CCK",1.88902817992239e-33,-3.842307141363,0.138,0.894,4.27260393734846e-29
"SCG2",1.56296505312337e-29,-4.3844127974274,0.026,0.739,3.53511435715445e-25
"DLX6-AS1",1.49529723246224e-21,-1.9244214318275,0.19,0.849,3.38206328038309e-17
"SCG5",1.28343524525102e-17,-1.88277338476226,0.095,0.663,2.90287383770875e-13
"SLC6A1-AS1",1.54216998284828e-16,-2.69607758227258,0.052,0.548,3.48808006720623e-12
"ATP1B1",1.47492113694086e-15,-1.25177528904361,0.353,0.915,3.33597662753283e-11
"CXCL14",3.23815525571391e-15,-3.35386277598581,0.121,0.588,7.32405955737371e-11
"IGF1",3.29029254419945e-15,-2.87421865182413,0.026,0.472,7.44198367647032e-11
"VIP",3.600563132505e-15,-4.00138205173018,0.026,0.457,8.14375369309982e-11
"SCG3",8.33614853771744e-15,-2.72475543658426,0.017,0.432,1.88547007626093e-10
"RGS12",2.08353558853755e-14,-1.11440192767461,0.241,0.794,4.71254079415423e-10
"DOCK10",2.20146414710406e-14,-1.3599764846819,0.233,0.774,4.97927160791997e-10
"GAD1",6.17410552333648e-14,-1.85258774005138,0.147,0.638,1.39645918726824e-09
"KCNT2",1.28454846072799e-13,-1.3757948542028,0.112,0.598,2.90539170847456e-09
"ADRBK2",1.4613577963882e-13,-2.07653205314595,0.103,0.563,3.30529906387084e-09
"UCHL1",3.69546337919152e-13,-0.898428621819916,0.181,0.704,8.35839907105537e-09
"SLC6A1",4.37628639141247e-13,-1.66261266878598,0.147,0.628,9.89828456009673e-09
"ZEB2",9.05054477877218e-13,-1.26005482994895,0.328,0.819,2.04705221806269e-08
"CCDC85A",1.63075900837346e-12,-1.51971635293083,0.181,0.663,3.68845072513909e-08
"ADARB2",1.83013951139136e-12,-1.14536182219004,0.362,0.839,4.13940954686498e-08
"ACTG1",2.84546698157607e-12,-1.16870534200848,0.112,0.578,6.43587721892875e-08
"GRIP1",3.80902483842132e-12,-0.99960962128398,0.302,0.844,8.61525237954134e-08
"MICU2",6.45836034837794e-12,-2.18777293197865,0.06,0.452,1.46075194359612e-07
"AP1S2",9.61993028801303e-12,-1.78813831748339,0.121,0.543,2.17583583254279e-07
"SLC35F1",9.96461619096557e-12,-1.15255537799771,0.207,0.688,2.25379689007259e-07
